,Name,Company,Date,Total
4,Service,"Allegheny Design Services, LLC",2025-03-01,"$3,750.00"
7,Service,"Allegheny Design Services, LLC",2025-05-31,"$2,511.00"
8,Software,"Allegheny Design Services, LLC",2025-05-31,$660.00
9,Software,"Allegheny Design Services, LLC",2025-05-31,$350.00
10,Software,"Allegheny Design Services, LLC",2025-05-31,$800.00
11,Software,"Allegheny Design Services, LLC",2025-05-31,$150.00
12,Service,"Allegheny Design Services, LLC",2025-05-31,"$2,000.00"
15,Service,"Allegheny Design Services, LLC",2024-09-01,"$3,750.00"
18,Service,"Allegheny Design Services, LLC",2024-11-01,"$3,750.00"
